Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;8690837;;
Nederland;L528;AantalOngeldigeStemmen;;47401;;
Nederland;L528;Kiesgerechtigden;;10040121;;
Nederland;L528;Opkomst;;8738238;;
Nederland;L528;Partij;CDA;2677259;48;
Nederland;L528;Partij;PvdA;2458452;44;
Nederland;L528;Partij;VVD;1505311;26;
Nederland;L528;Partij;D66;961121;17;
Nederland;L528;Partij;PSP;184422;3;
Nederland;L528;Partij;CPN;178292;3;
Nederland;L528;Partij;SGP;171324;3;
Nederland;L528;Partij;PPR;171042;3;
Nederland;L528;Partij;RPF;108364;2;
Nederland;L528;Partij;GPV;70878;1;
Nederland;L528;Partij;DS70;48568;;
Nederland;L528;Partij;Evangelische Volkspartij;45189;;
Nederland;L528;Partij;SP;30380;;
Nederland;L528;Partij;Rooms Katholieke Partij Nederland;20812;;
Nederland;L528;Partij;Rechtse Volkspartij;17371;;
Nederland;L528;Partij;CP;12242;;
Nederland;L528;Partij;NVU;10641;;
Nederland;L528;Partij;Leefbaar Nederland;8336;;
Nederland;L528;Partij;Samen Overleven of Sterven;3377;;
Nederland;L528;Partij;Realisten 81;2080;;
Nederland;L528;Partij;Internationale Kommunistenbond;1814;;
Nederland;L528;Partij;God Met Ons;918;;
Nederland;L528;Partij;Wereld Welzijns Bewustwording;891;;
Nederland;L528;Partij;Partij tot Likwidatie van Nederland;826;;
Nederland;L528;Partij;De Vrede Partij;464;;
Nederland;L528;Partij;Partij van Rijksgenoten;207;;
Nederland;L528;Partij;Kleine Partij;186;;
Nederland;L528;Partij;Nederlandse Evolutie Partij;70;;
