Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;8829;;
Nederland;L528;AantalGeldigeStemmen;;9416001;;
Nederland;L528;AantalOngeldigeStemmen;;18147;;
Nederland;L528;Kiesgerechtigden;;12524152;;
Nederland;L528;Opkomst;;9442977;;
Nederland;L528;Partij;VVD;1929575;31;
Nederland;L528;Partij;Partij van de Arbeid (P.v.d.A.);1848805;30;
Nederland;L528;Partij;PVV (Partij voor de Vrijheid);1454493;24;
Nederland;L528;Partij;Christen Democratisch Appèl (CDA);1281886;21;
Nederland;L528;Partij;SP (Socialistische Partij);924696;15;
Nederland;L528;Partij;Democraten 66 (D66);654167;10;
Nederland;L528;Partij;GROENLINKS;628096;10;
Nederland;L528;Partij;ChristenUnie;305094;5;
Nederland;L528;Partij;Staatkundig Gereformeerde Partij (SGP);163581;2;
Nederland;L528;Partij;Partij voor de Dieren;122317;2;
Nederland;L528;Partij;TROTS OP NEDERLAND LIJST RITA VERDONK;52937;;
Nederland;L528;Partij;Partij voor Mens en Spirit (MenS);26196;;
Nederland;L528;Partij;Piratenpartij;10471;;
Nederland;L528;Partij;Lijst 17;7456;;
Nederland;L528;Partij;Partij TTn;2042;;
Nederland;L528;Partij;Nieuw Nederland;2010;;
Nederland;L528;Partij;Heel NL;1255;;
Nederland;L528;Partij;Evangelische Partij Nederland;924;;
