Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;8876514;;
Nederland;L528;AantalOngeldigeStemmen;;26389;;
Nederland;L528;Kiesgerechtigden;;11091070;;
Nederland;L528;Opkomst;;8902903;;
Nederland;L528;Partij;CDA;3135056;54;
Nederland;L528;Partij;PvdA;2832739;49;
Nederland;L528;Partij;VVD;1290427;22;
Nederland;L528;Partij;D66;700538;12;
Nederland;L528;Partij;GL;361324;6;
Nederland;L528;Partij;SGP;165918;3;
Nederland;L528;Partij;GPV;109458;2;
Nederland;L528;Partij;RPF;85081;1;
Nederland;L528;Partij;CD;81337;1;
Nederland;L528;Partij;SP;38829;;
Nederland;L528;Partij;De Groenen;30698;;
Nederland;L528;Partij;Vrouwenpartij;12018;;
Nederland;L528;Partij;Bejaarden Centraal;7840;;
Nederland;L528;Partij;VCN: partij van communisten in Nederland;7361;;
Nederland;L528;Partij;Realisten Nederland;6032;;
Nederland;L528;Partij;Socialistische Arbeiderspartij;4283;;
Nederland;L528;Partij;Anti Werkloosheid Partij;2166;;
Nederland;L528;Partij;Politieke Partij voor Ouderen;2149;;
Nederland;L528;Partij;Vooruitstrevende Minderheden Partij;1939;;
Nederland;L528;Partij;Partij Democratisch Socialisten;452;;
Nederland;L528;Partij;Socialistische Minderheden Partij;328;;
Nederland;L528;Partij;Humanistische Partij;318;;
Nederland;L528;Partij;Milieu Defensie Partij 2000+;138;;
Nederland;L528;Partij;Grote Alliance Partij;54;;
Nederland;L528;Partij;Staatkundige Federatie;31;;
