Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;9172159;;
Nederland;L528;AantalOngeldigeStemmen;;27462;;
Nederland;L528;Kiesgerechtigden;;10727701;;
Nederland;L528;Opkomst;;9199621;;
Nederland;L528;Partij;CDA;3172918;54;
Nederland;L528;Partij;PvdA;3051678;52;
Nederland;L528;Partij;VVD;1596991;27;
Nederland;L528;Partij;D66;562466;9;
Nederland;L528;Partij;SGP;159740;3;
Nederland;L528;Partij;PPR;115203;2;
Nederland;L528;Partij;PSP;110182;1;
Nederland;L528;Partij;GPV;88381;1;
Nederland;L528;Partij;RPF;83582;1;
Nederland;L528;Partij;CPN;57847;;
Nederland;L528;Partij;CP;36741;;
Nederland;L528;Partij;SP;32144;;
Nederland;L528;Partij;Evangelische Volkspartij;21998;;
Nederland;L528;Partij;Federatie Groenen;18641;;
Nederland;L528;Partij;Partij voor de Middengroepen;15297;;
Nederland;L528;Partij;Loesje;12882;;
Nederland;L528;Partij;CD;12277;;
Nederland;L528;Partij;VCN: partij van communisten in Nederland;4618;;
Nederland;L528;Partij;Partij voor Ambtenaren en Trendvolgers;4500;;
Nederland;L528;Partij;Anti Revolutionairen '85;3664;;
Nederland;L528;Partij;Socialistische Arbeiderspartij;3634;;
Nederland;L528;Partij;God Met Ons;2375;;
Nederland;L528;Partij;Partij Algemeen Belang;2128;;
Nederland;L528;Partij;Partij Geluk voor Iedereen;1184;;
Nederland;L528;Partij;Lijst Wissink;560;;
Nederland;L528;Partij;Humanistische Partij;463;;
Nederland;L528;Partij;Lijst Brummer;65;;
