Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;17004;;
Nederland;L528;AantalGeldigeStemmen;;9424235;;
Nederland;L528;AantalOngeldigeStemmen;;20984;;
Nederland;L528;Kiesgerechtigden;;12689810;;
Nederland;L528;Opkomst;;9462223;;
Nederland;L528;Partij;VVD;2504948;41;
Nederland;L528;Partij;Partij van de Arbeid (P.v.d.A.);2340750;38;
Nederland;L528;Partij;PVV (Partij voor de Vrijheid);950263;15;
Nederland;L528;Partij;SP (Socialistische Partij);909853;15;
Nederland;L528;Partij;Christen Democratisch Appèl (CDA);801620;13;
Nederland;L528;Partij;Democraten 66 (D66);757091;12;
Nederland;L528;Partij;ChristenUnie;294586;5;
Nederland;L528;Partij;GROENLINKS;219896;4;
Nederland;L528;Partij;Staatkundig Gereformeerde Partij (SGP);196780;3;
Nederland;L528;Partij;Partij voor de Dieren;182162;2;
Nederland;L528;Partij;50PLUS;177631;2;
Nederland;L528;Partij;Piratenpartij;30600;;
Nederland;L528;Partij;Partij voor Mens en Spirit (MenS);18310;;
Nederland;L528;Partij;SOPN;12982;;
Nederland;L528;Partij;Partij van de Toekomst (PvdT);8194;;
Nederland;L528;Partij;Democratisch Politiek Keerpunt DPK;7363;;
Nederland;L528;Partij;Libertarische Partij (LP);4163;;
Nederland;L528;Partij;Nederland Lokaal;2842;;
Nederland;L528;Partij;Liberaal Democratische Partij (LibDem);2126;;
Nederland;L528;Partij;Anti Europa Partij;2013;;
Nederland;L528;Partij;Politieke Partij NXD;62;;
