Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;8236516;;
Nederland;L528;AantalOngeldigeStemmen;;37115;;
Nederland;L528;Kiesgerechtigden;;10216627;;
Nederland;L528;Opkomst;;8273631;;
Nederland;L528;Partij;PvdA;2503517;47;
Nederland;L528;Partij;CDA;2420441;45;
Nederland;L528;Partij;VVD;1900763;36;
Nederland;L528;Partij;D66;351278;6;
Nederland;L528;Partij;PSP;187547;3;
Nederland;L528;Partij;SGP;156636;3;
Nederland;L528;Partij;CPN;147753;3;
Nederland;L528;Partij;PPR;136446;2;
Nederland;L528;Partij;RPF;124235;2;
Nederland;L528;Partij;CP;68423;1;
Nederland;L528;Partij;GPV;67163;1;
Nederland;L528;Partij;Evangelische Volkspartij;56466;1;
Nederland;L528;Partij;SP;44959;;
Nederland;L528;Partij;DS70;31047;;
Nederland;L528;Partij;Rechtse Volkspartij;21987;;
Nederland;L528;Partij;Rooms Katholieke Partij Nederland;12689;;
Nederland;L528;Partij;God Met Ons;3157;;
Nederland;L528;Partij;NVU;1632;;
Nederland;L528;Partij;Progressieve Partij voor Behoud van Milieu, Werk en Maatschappij;250;;
Nederland;L528;Partij;Kleine Partij;127;;
