Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;8317612;;
Nederland;L528;AantalOngeldigeStemmen;;48217;;
Nederland;L528;Kiesgerechtigden;;9497999;;
Nederland;L528;Opkomst;;8365829;;
Nederland;L528;Partij;PvdA;2813793;53;
Nederland;L528;Partij;CDA;2652278;49;
Nederland;L528;Partij;VVD;1492689;28;
Nederland;L528;Partij;D66;452423;8;
Nederland;L528;Partij;SGP;177010;3;
Nederland;L528;Partij;CPN;143481;2;
Nederland;L528;Partij;PPR;140910;3;
Nederland;L528;Partij;GPV;79421;1;
Nederland;L528;Partij;PSP;77972;1;
Nederland;L528;Partij;Boeren Partij;69914;1;
Nederland;L528;Partij;DS70;59487;1;
Nederland;L528;Partij;RPF;53220;;
Nederland;L528;Partij;NVU;33434;;
Nederland;L528;Partij;RKPN;33227;;
Nederland;L528;Partij;SP;24420;;
Nederland;L528;Partij;Federatie Bejaardenpartijen Nederland;4379;;
Nederland;L528;Partij;Verbond tegen Ambtelijke Willekeur;4110;;
Nederland;L528;Partij;KEN;2649;;
Nederland;L528;Partij;Democratisch Actie Centrum;2150;;
Nederland;L528;Partij;Partij van de Belastingbetalers;201;;
Nederland;L528;Partij;Europese Conservatieve Unie;197;;
Nederland;L528;Partij;Lijst-JUSIA;91;;
Nederland;L528;Partij;Nederlandse Middenstands Partij;89;;
Nederland;L528;Partij;Lijst-Griek;67;;
