"","date","VVD","VVD.low","VVD.high","PVV","PVV.low","PVV.high","CDA","CDA.low","CDA.high","D66","D66.low","D66.high","GL","GL.low","GL.high","SP","SP.low","SP.high","PvdA","PvdA.low","PvdA.high","CU","CU.low","CU.high","PvdD","PvdD.low","PvdD.high","50PLUS","50PLUS.low","50PLUS.high","SGP","SGP.low","SGP.high","Denk","Denk.low","Denk.high","FvD","FvD.low","FvD.high","PvdT","PvdT.low","PvdT.high","JA21","JA21.low","JA21.high","Volt","Volt.low","Volt.high","BIJ1","BIJ1.low","BIJ1.high","BBB","BBB.low","BBB.high"
"1","2017-03-15",0.213,0.213,0.213,0.131,0.131,0.131,0.124,0.124,0.124,0.122,0.122,0.122,0.091,0.091,0.091,0.091,0.091,0.091,0.057,0.057,0.057,0.034,0.034,0.034,0.032,0.032,0.032,0.031,0.031,0.031,0.021,0.021,0.021,0.021,0.021,0.021,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2017-03-16",0.212851868492591,0.208304838135755,0.217181311604431,0.131312181646422,0.128118374842386,0.134492631789725,0.123871902048101,0.121624194348441,0.126157705560187,0.122369820370094,0.119845968367414,0.124929613535304,0.0912969369523653,0.089593790027848,0.0929745267238402,0.0908853666351808,0.0890093820159599,0.0927429298840228,0.0565963726327567,0.0546046698041411,0.0584946720011334,0.0340920881744057,0.0334214361072624,0.0348001345352843,0.0320448047732063,0.0314350339620871,0.0327061858567348,0.0308978168848909,0.0286785790160915,0.0330736587638494,0.0210208043008729,0.0207622731398072,0.0212870129217484,0.0209288887569415,0.0199765384500814,0.0218624053958522,0.0181220504797303,0.0145043800942119,0.02176622919511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2017-03-17",0.212679413257472,0.206660303463789,0.218469708093566,0.131671830608894,0.12733861629449,0.136017801443773,0.123712324084358,0.120722669560139,0.126929608840196,0.122707612279314,0.119324724746454,0.126192677844701,0.0916354512460349,0.0893035770032724,0.0940571544045234,0.0907677197048569,0.0883256628932932,0.0932899972497273,0.056192791424837,0.0535992847332623,0.0587990948343628,0.0342069662978837,0.033241128130442,0.035201055073889,0.0320918957426393,0.0312390074097757,0.0330335942016651,0.0308247698367292,0.0278668390847033,0.033895112949366,0.0210399463032281,0.0206834593604151,0.0213933403622371,0.020860454773261,0.0195060855064813,0.0221635451293486,0.018184315920159,0.0130954131580548,0.0233355022077506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2017-03-18",0.212503436289697,0.205486197025049,0.219352072769079,0.132091132907113,0.126924607350331,0.137151478216386,0.123552070861863,0.119823969730408,0.127150309176777,0.123113454884352,0.119008182750883,0.127142726013975,0.0919838928660609,0.0892480894226964,0.0948229762008005,0.0906412950627844,0.0876856823358162,0.093695656395677,0.0558050320948484,0.0526542995697749,0.0590311769604342,0.0343046738222684,0.0331713756994405,0.0355176193472566,0.0321350263369659,0.0311085100963477,0.033281870657304,0.0307102086507829,0.0272121548411831,0.0343600911252435,0.0210573318637002,0.0206431207607725,0.0214860211926167,0.0207606040896267,0.0191452402023543,0.0223970853839402,0.0182851164719857,0.0122734361027957,0.0241833691810384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2017-03-19",0.212314437599113,0.204262581978027,0.220083607085813,0.13244441347859,0.126821158629518,0.137847085975063,0.12340677145284,0.119402983035823,0.127419467754459,0.123478069428495,0.118960658574152,0.128288602295514,0.0922731239025325,0.0892382471865384,0.0955026206065011,0.0905357140380579,0.0871445336187136,0.0939732406720694,0.0554435816957155,0.0516923577203889,0.0589884973874243,0.0344054164149571,0.0331083788932731,0.035779644083945,0.0321838969342288,0.0310100037446998,0.0334579846226726,0.0306308648060134,0.026731009727705,0.0346834291132737,0.0210744880002919,0.0205753494815953,0.0215682685750928,0.02067756891571,0.0188049531324921,0.0224737297033205,0.0183536464683875,0.011883700937677,0.02468908788228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2017-03-20",0.212104016984505,0.203741102866766,0.220517418662055,0.132759457591988,0.126806739962591,0.138550267575479,0.123264129153488,0.118753900468884,0.127405282178421,0.123830014517829,0.118935307648025,0.128686913455705,0.092626774265307,0.089293537864232,0.0960664088366792,0.0903982390424191,0.0867372213117129,0.0941994848087991,0.0550626077102313,0.0511556228205733,0.0587424955929093,0.0345002535566955,0.0330384169617546,0.0361041838274843,0.0322366053231419,0.0309353225812796,0.0336483970982892,0.0305171415978208,0.0262489193394532,0.0348916876884043,0.021090604204414,0.020542563657132,0.021649167368342,0.0206036684777742,0.018579384817031,0.0225584057352926,0.0184076030561371,0.011558511162248,0.0249724388775492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2017-03-21",0.211935153877171,0.20306935985375,0.220716055034788,0.133148689332502,0.126826732850909,0.139234194117613,0.123105658133534,0.118394001582541,0.127687488655682,0.124176734858364,0.118847157350888,0.129489502575316,0.0929643383278317,0.0894222055675479,0.0966641944844629,0.0902311882368378,0.0863973569739149,0.0943477239832448,0.0546773919324324,0.0507443562839936,0.0586286866767048,0.0346058013587317,0.0330633014975248,0.0362980363351295,0.0322646774417179,0.0308094015248095,0.0337469350431891,0.0303677374032236,0.0259355876711905,0.0349464329249256,0.0211096958176827,0.0205317182123839,0.0216957952314612,0.0205073683836766,0.0183304305706869,0.022659938562985,0.0185585790721936,0.0117208954799332,0.0252533475248931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2017-03-22",0.211685810466964,0.203033064737016,0.220358966015698,0.133491356612415,0.12673578047856,0.139777331583808,0.122950992565809,0.118075766037918,0.127647494078519,0.124550370876012,0.119001363217061,0.130073454311284,0.0932871352799415,0.0897092406043941,0.097154783056244,0.090083353416858,0.0859748150261464,0.0941517549715543,0.0543221821324384,0.0499562379656559,0.0583735246515759,0.0347017688412804,0.0331237540742202,0.0365379838332264,0.0322929853542092,0.0308053644798925,0.0338860866599032,0.0302119413110405,0.0258059336482587,0.0347134483324439,0.0211240446635867,0.0205236892958383,0.0217914843945832,0.0204364445059739,0.0182699190490783,0.0226768661557084,0.0187034455572002,0.0115282704344465,0.0252523436975506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2017-03-23",0.211463510794688,0.202345289363576,0.220118534135481,0.133795080511463,0.127243514917967,0.140250359506483,0.122803376074612,0.117928426180388,0.127622766103871,0.124899352664598,0.119421900524412,0.130730683627437,0.0936188223551877,0.0898260261845223,0.0974623489482773,0.089939782455811,0.0856574358113322,0.0941658758340589,0.0539555741391903,0.0496583428199987,0.0581715191288249,0.0348064594007051,0.0331181630434291,0.0366689915622561,0.0323225950632889,0.0307574295207311,0.0339641020363108,0.030112058961096,0.0256017896673873,0.0346551881783389,0.0211418315018551,0.0204920901667397,0.0218535448104357,0.0203538154500084,0.0180452647355899,0.0227432938344475,0.01878524080002,0.0119262805903157,0.0253592478081259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2017-03-24",0.211248001458515,0.202269413762655,0.21986989903132,0.134137422858592,0.127685810616388,0.14054917665746,0.122667482316415,0.117606965995716,0.127490180196059,0.125223640794587,0.119470378838023,0.130957864044485,0.0939489019699259,0.0901326768602734,0.098035419384387,0.0898239249875441,0.085382242269615,0.0941665743300708,0.0535582685494719,0.0493215439305864,0.0578884839185557,0.0349159563116919,0.0331496522291896,0.0368944709602004,0.0323644035199446,0.0307081233358263,0.0340841822963563,0.0299853202127506,0.0253947657972671,0.0344602224820381,0.0211611418608345,0.0205006257302733,0.0219139637214852,0.0202461667193479,0.0178966641478053,0.022757236565755,0.0188968388102895,0.0128113908839252,0.024942512125448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2017-03-25",0.211076901867379,0.202608443352322,0.219473831827594,0.134503776809513,0.128270897858425,0.140708136719529,0.12252806507232,0.117409273167442,0.12749535958661,0.12560582811732,0.120046986797025,0.131175154311963,0.0942892361029614,0.0903240060256671,0.0985540081658839,0.0896955204109321,0.08523500515251,0.0939754505720341,0.0531902391877489,0.0490474294607556,0.0573745599958327,0.0350131018740936,0.0332091382707327,0.0370031762859122,0.0323970738014845,0.0306871366681553,0.0342274405143381,0.0298905860286114,0.0255237144338615,0.034126377440065,0.021178794020981,0.0204994691550451,0.0219433216569492,0.0201648395830101,0.0176791969407958,0.022750422953803,0.0189782286619513,0.0135444963439805,0.024534286666208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2017-03-26",0.210954703400772,0.202194112258254,0.219972232821807,0.134722028875366,0.128296618869675,0.141464836620939,0.122378061110719,0.117199114663982,0.127575965018131,0.125838438387874,0.120083154686506,0.131524970420933,0.094488059775214,0.0903637313437628,0.0989331386688309,0.0895899409753697,0.0850166065990892,0.0941908564251233,0.053061610957353,0.048628456039863,0.0573592413323621,0.0350989490105157,0.0331808736553077,0.0372299579383086,0.0324310992790203,0.0306879531568745,0.0342554598082868,0.0298586962671328,0.0253837651663018,0.0341223023075589,0.0211965904985671,0.0204830323931118,0.0220004001029531,0.0201096209455308,0.0175380587727832,0.0227791154336736,0.0190844198044728,0.0128379116044351,0.0251979070417223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2017-03-27",0.210849481972686,0.202005090935433,0.219946354189908,0.134950975839378,0.127988906450862,0.141873171745129,0.122251392586613,0.116923555912411,0.127649982475746,0.126018889828084,0.12020316439263,0.131763468062101,0.0946951803150071,0.090687804633264,0.0992503738983751,0.0894610443603744,0.0846101417148324,0.0942035215542625,0.0528983357538214,0.0483229282429569,0.0575261310808266,0.0351635706413306,0.0332491600114895,0.0373046269331725,0.0324646709952359,0.0306350030639063,0.0343667413002456,0.0298195008558467,0.0248439272441261,0.0343458086882415,0.0212117313140299,0.0204765984871743,0.0220535358539716,0.0200454619892634,0.0173002328952951,0.0226720884588391,0.0191195291169814,0.0124976201364198,0.025725794662094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2017-03-28",0.210693497120438,0.201033870127862,0.219537742290958,0.135141827150339,0.128207352467895,0.1421259817606,0.122118067148675,0.116786886120885,0.127521072379051,0.126237092285313,0.120333988933372,0.132121222694975,0.0948876875935388,0.0906058160695651,0.0995832943827443,0.0893190497827843,0.0843803486164804,0.0940331194327786,0.0527615947520231,0.0480644117739565,0.0573512899321243,0.0352352082323951,0.0332785642475524,0.0374368672477037,0.0324989966498051,0.0306149883100999,0.0344744807208025,0.0298141204407027,0.0250037515932816,0.0345439605832994,0.0212324484091771,0.0204781917081137,0.0220995982569798,0.0199841412388259,0.0172728837620499,0.0227805479523067,0.0191890461918804,0.0123914790379054,0.0258789211725325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2017-03-29",0.210610290381525,0.201322759256342,0.219613329475831,0.135312627373947,0.128362737855365,0.142262749877237,0.121943910205473,0.116618334527491,0.127411683675968,0.12637206253099,0.120570677616981,0.132408890490517,0.095080339321067,0.0906635438387879,0.0997346693890727,0.0892056592515762,0.0844993051231534,0.09396702531551,0.0526354592106756,0.0478500312653901,0.0571869622545764,0.0353109434097064,0.0333252378675185,0.0376187340777139,0.0325393640253326,0.0306922789850986,0.0345661835389421,0.0297825109758955,0.0248407847209178,0.0346080384439074,0.0212501567225537,0.0204661873622695,0.0221180523841128,0.0199157748119314,0.0169805693705177,0.0227643169374468,0.0192396895504702,0.0124768125925193,0.025946410307253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2017-03-30",0.210461493827792,0.201274598599164,0.219633819620061,0.135455139180398,0.128267498312192,0.142279099026805,0.12180305887708,0.116385242563347,0.12725752724237,0.126521456030097,0.120599801812468,0.132431432906908,0.0952962313896877,0.090894321726304,0.0998681899698526,0.0890994071233001,0.0843793172957319,0.0937894888848703,0.0524797576938607,0.0478997849228533,0.0570999282853064,0.0353910972035253,0.0333477670426557,0.0377181912442337,0.0325775427453965,0.0306447891586659,0.0345711879474186,0.0297859089547584,0.0249387219365563,0.0345091178750397,0.0212685755011195,0.0204795745220178,0.0221697688111837,0.0198385698478292,0.016934341448691,0.0227127956218927,0.0192360185895417,0.012926154609328,0.0254861687902681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2017-03-31",0.210309632280415,0.201462933761684,0.219044910921832,0.135671655055235,0.128640246060624,0.142484666620276,0.12167120990491,0.116274993566002,0.127171277355692,0.126681542660152,0.120767179809689,0.132643517565915,0.0955236400519307,0.0912583231068007,0.100020557094919,0.0889729455665831,0.0842375719088199,0.0938245794461006,0.0523409968940376,0.0476978505316195,0.0568427551030521,0.0354677168231904,0.0334357426135683,0.0377963316926252,0.0326204420300918,0.0306808702594232,0.034723136060557,0.029804777361636,0.0250295881022731,0.0343292622927673,0.0212848108919417,0.0204891297824284,0.0222311085762885,0.0197794221136442,0.0167845719623826,0.0226570667807717,0.0192505497186084,0.0130871776305549,0.0252690750892928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2017-04-01",0.210257657034767,0.201803307085699,0.218489157294822,0.135814495756133,0.12895481332479,0.142339156592437,0.121551961837429,0.116252995334508,0.126912626231818,0.126821251760075,0.12092943190244,0.132817625443091,0.0957404401023385,0.0914094551813072,0.100223505291834,0.088839002809907,0.0840017457099438,0.0936884044500237,0.0522173668579331,0.0477798773540572,0.0568584316499038,0.0355330971915572,0.0334361805262857,0.0378240682933686,0.0326549253184189,0.0306945734446062,0.0348044979661854,0.0298215606103305,0.0253750504474611,0.0342211523139105,0.021302569514248,0.0204997946996562,0.0222474926302815,0.0197012328739612,0.0168609046734957,0.0226261086057147,0.019341604509841,0.0140081372167222,0.0246246817201499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","2017-04-02",0.210000482176858,0.201063090849633,0.218980078387543,0.135912274284836,0.128539314214831,0.142872725109663,0.121331668531017,0.115988245595076,0.126816363998115,0.126891782430864,0.120864457781502,0.132965605056409,0.0958573419986144,0.0915675842113385,0.100540897448146,0.0886585634974653,0.0841217440385852,0.093464470846488,0.0522480094481914,0.0475629504804256,0.0567855019061225,0.035573409298191,0.0334544346310161,0.0379073246920264,0.032691560213792,0.0306613797437591,0.0348721715518103,0.029940919081847,0.0252297941273756,0.0345873766450792,0.0213196480115616,0.020499105204006,0.0223005573229095,0.0196425742484864,0.0166588147974496,0.0225983790289174,0.0194099335651884,0.0134203455397861,0.0250673117341093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","2017-04-03",0.209755507804088,0.200891186134574,0.218743820851202,0.13604162795002,0.129099776115339,0.143028432746988,0.121127964431246,0.115614248021244,0.126613329876758,0.126946982624061,0.120929525751729,0.133076633338584,0.0960063025485323,0.0916889360372816,0.100560596776698,0.0885077651371643,0.0837585739879008,0.0932491094763077,0.0522951392662049,0.0475024470992669,0.0569160454650714,0.0356242423246092,0.0335460910838026,0.0379491549770303,0.0327333543644144,0.0306643485963228,0.0349338087478598,0.0300418269059145,0.0253863398877708,0.0348140132024902,0.0213414243327282,0.0205058251783129,0.0222976189974534,0.0195682590982901,0.0165745030867854,0.0225299030731361,0.0195643672791375,0.0134938205023582,0.0254947111274905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","2017-04-04",0.209561869585163,0.201060670365733,0.218750944853944,0.136124268515712,0.129095649103966,0.143237881887852,0.120981496021348,0.115373600792743,0.126418751713435,0.126992496323992,0.121038340706376,0.133297355571745,0.096158019556287,0.0918870540216195,0.10063435588558,0.0883486077687469,0.0833825092733554,0.0932593532239907,0.0523373776787684,0.0475971321041474,0.0568665957584285,0.0356824041589193,0.0335873960937405,0.038019258771258,0.0327698819036138,0.0307597664432617,0.0349660630993942,0.0301054386390465,0.025544084094765,0.0347994699782602,0.0213602570372422,0.0205087541758877,0.022324045676841,0.019504024480895,0.0163862843356772,0.0224714286611489,0.019684111123232,0.0136895619269711,0.0255962831064741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","2017-04-05",0.209466357068776,0.20094458822429,0.218512910665211,0.136205312490598,0.129093857459937,0.143121738611661,0.120802805511131,0.115285963702491,0.126310014853461,0.127013897087921,0.120805427420597,0.133130877692508,0.0962933136080871,0.091792665396432,0.10072570270788,0.0882072112077737,0.0832871611113863,0.0930898835144162,0.0523794389083691,0.0474887784727178,0.0568598042248225,0.0357240016176961,0.0335726273826112,0.0381046527113834,0.0328073555162925,0.0307518900042329,0.0350865322461772,0.030217125079828,0.0255617913003795,0.034753484136997,0.0213837553417702,0.0205575031858031,0.0223565612749161,0.0194526407668577,0.0163256534931236,0.0223200961846629,0.0198694944762218,0.0139964699521182,0.0255569914683847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
