date	VVD	VVD.low	VVD.high	PvdA	PvdA.low	PvdA.high	PVV	PVV.low	PVV.high	CDA	CDA.low	CDA.high	SP	SP.low	SP.high	D66	D66.low	D66.high	GL	GL.low	GL.high	CU	CU.low	CU.high	SGP	SGP.low	SGP.high	PvdD	PvdD.low	PvdD.high	X50PLUS	X50PLUS.low	X50PLUS.high	DPK	DPK.low	DPK.high	Piratenpartij	Piratenpartij.low	Piratenpartij.high
2010-06-09	0.205	0.205	0.205	0.196	0.196	0.196	0.155	0.155	0.155	0.136	0.136	0.136	0.098	0.098	0.098	0.07	0.07	0.07	0.067	0.067	0.067	0.032	0.032	0.032	0.017	0.017	0.017	0.013	0.013	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010-06-10	0.204454316074948	0.200242040689748	0.208658054154021	0.194919709852642	0.187831826754024	0.202187451907078	0.156460656193337	0.151845524896016	0.161110055391943	0.135196205791065	0.132393838995206	0.138027857507094	0.0984308691511177	0.0920367182617162	0.104884726127454	0.0700705779203362	0.0679336757808853	0.0722197721513285	0.0672781700505371	0.0654943879374633	0.069117151494247	0.0322996628513951	0.0313405140094114	0.0333386154827832	0.0169896305653439	0.0167619370806722	0.0172103417797602	0.0129039775682651	0.0122918696192809	0.0134823294100944	6.37282550134049E-5	-7.38530072068338E-4	9.07022800519828E-4	1.39762040005451E-5	-2.99549821414399E-4	3.1969278733493E-4	1.20515695325827E-5	-3.83759459467005E-4	4.22594150850039E-4
2010-06-11	0.203783131130741	0.198073853829188	0.209561629245789	0.193872622211581	0.184628166386634	0.203227409437062	0.157824449411401	0.151556323906469	0.163925522019189	0.134403861395109	0.130450230646214	0.138272940262081	0.0988462015581952	0.0905937532735774	0.107096932484701	0.0701051844138975	0.0671674743779412	0.0731072131058224	0.0675468060972761	0.0651121432176172	0.0700876809147922	0.0326023701196769	0.0312391244207046	0.0340924294114587	0.0169819960614186	0.0166726039824457	0.0172902759227901	0.0128028025017578	0.0119480959982146	0.013587809982956	1.31815207705017E-4	-0.00102537153844117	0.00131181474330285	2.80168697584649E-5	-3.9283173043374E-4	4.31702046093068E-4	1.99121008313823E-5	-5.42319625754271E-4	5.81250332801343E-4
2010-06-12	0.203148797876085	0.196591760683309	0.209730699407459	0.192706693055317	0.182456906030541	0.202995897395809	0.159267328212779	0.152096356210173	0.166592172181658	0.133618012726127	0.12901965386171	0.138003567077982	0.0993094022287635	0.0900322242879561	0.108336509716481	0.0701745907394989	0.0667991973492212	0.0736572718217981	0.0678209007222398	0.0648785770546253	0.070879173176362	0.032901956066217	0.0313292927338142	0.0347128176623787	0.0169733543796952	0.0165943016661456	0.0173541381984938	0.0127030607514348	0.0116559227749502	0.0136703934373752	2.11690308176307E-4	-0.00124986435988767	0.0016533300734118	4.60136098232885E-5	-4.77830079787754E-4	5.45895368751411E-4	3.34565296979517E-5	-6.4418727606721E-4	7.2291387425394E-4
2010-06-13	0.202501466839895	0.195188625464627	0.209712876518701	0.1915745727466	0.180465111848697	0.20201159360114	0.160669074935694	0.152846819929493	0.168441292669764	0.13279971348258	0.127617806357904	0.137775996610221	0.0997058144733876	0.0906418185631356	0.108873227636152	0.0702178827997562	0.0664355626810189	0.0739961548903162	0.068092846000243	0.0647091294794389	0.0714731586395743	0.0331995948956454	0.0314047393229459	0.0351874172880992	0.0169663406968507	0.0165467882854241	0.0173981014663345	0.0126039634494712	0.0114105570562007	0.0136752938067519	2.79705604791951E-4	-0.00133552759390948	0.00192530072928281	6.36273550827328E-5	-5.38219321141691E-4	6.59182012053891E-4	4.85163519609103E-5	-7.87070283805328E-4	8.51532011717944E-4
2010-06-14	0.20183994817107	0.1935877939105	0.209615066787341	0.190832592883446	0.178673021910115	0.202504092059869	0.162117736076766	0.153623894755125	0.170820893176231	0.132124193020883	0.126556078880702	0.137292546376188	0.100095078477346	0.0900701028732273	0.110013284125345	0.070281120219765	0.0661239265107944	0.074428925107342	0.06828477135153	0.0646703042556361	0.0719560882626798	0.0333924339335506	0.031467997149369	0.0355551672330324	0.0169594357572998	0.0164906619792169	0.0174167689283294	0.0125426086566984	0.0112624957506926	0.0137247030514607	3.49336831561492E-4	-0.00149453483393547	0.00221311276841871	8.02718497221271E-5	-5.74769088061374E-4	7.26869812198794E-4	5.65603787513607E-5	-8.73198184331191E-4	9.41304847218486E-4
2010-06-15	0.20114344989694	0.19258220185413	0.209462498813303	0.190006050948727	0.177774828072938	0.20235947216207	0.16352062724385	0.154833378281961	0.172931828354946	0.131473527434425	0.125631859317437	0.137182736712888	0.100461203862844	0.0901968022340197	0.110959783793756	0.070337796481705	0.0659170125516577	0.0747509729103559	0.0684985119484119	0.0646438083185555	0.0724237690703092	0.0336003097062773	0.031556166135572	0.0359421018680259	0.0169514092567032	0.0164285432391462	0.0174641793878929	0.0124892886344243	0.0111444921945809	0.0137849938703987	4.30001365246376E-4	-0.00156653360460203	0.00247078942554214	9.8462899949425E-5	-6.26447828700996E-4	7.98693826285933E-4	6.33277106916003E-5	-9.40979744243769E-4	0.0010157307405712
2010-06-16	0.200491039409738	0.19182547753363	0.209254989492724	0.189094433919346	0.176550501750778	0.20137589500177	0.164994325243371	0.155887952670103	0.174537039026404	0.130782822119307	0.124578098348379	0.136669666877862	0.100818222293686	0.0904543021012957	0.111149249414846	0.0704197953370009	0.0658029749074175	0.0750098821489284	0.0687048248420111	0.0647010424071734	0.0727828181625999	0.0338113529105976	0.0316503987984782	0.0363142735583918	0.0169419277415867	0.0163703640820655	0.0174992656537198	0.012437574251412	0.0109755160073553	0.0138120225543224	4.95961139444003E-4	-0.00164733894061476	0.00275518578339981	1.14073181860547E-4	-6.65737257055159E-4	8.6230161409073E-4	7.48424451321327E-5	-0.00100064063877009	0.00109657709845156
2010-06-17	0.199885036714388	0.19091590348628	0.20861568679461	0.188208114810761	0.176022921013894	0.200569808324073	0.166477103661289	0.157262194668847	0.176186800396097	0.130084675504617	0.123737209391403	0.136132691540444	0.101189348341199	0.0916079646705962	0.111090267793855	0.0705022235692839	0.0657116304527325	0.0752509688783581	0.0688879685093234	0.0645866713866551	0.07303769970931	0.0340211652771071	0.0317663666678468	0.0365288222161983	0.0169351388182623	0.0163512105119126	0.0174996956103872	0.0123812455478165	0.0108800533905251	0.0137955951221431	5.65929484778661E-4	-0.00175949824935315	0.00294352167332613	1.31121968278967E-4	-6.73180546884538E-4	9.24167232764957E-4	8.40287747550232E-5	-0.00105441875009956	0.00117832853803721
2010-06-18	0.198904836788281	0.189965084336175	0.208046839089746	0.187422324458908	0.174563432885874	0.200057159552847	0.168026015378626	0.158565244163667	0.17805041660941	0.129522109607659	0.12280406247122	0.135887006229861	0.101257681722192	0.0910330108110013	0.111937629976908	0.0705149568625396	0.0655279909211508	0.0754817835369013	0.069185685626267	0.0647629819821872	0.0735514301657007	0.0342226513800272	0.0318223129529672	0.0368845006278363	0.0169282129604403	0.0163034940763746	0.0175294844886025	0.0123213249735967	0.01074085745899	0.0138003496039511	6.33710127075892E-4	-0.0017173016446491	0.0031285930080531	1.46146143107406E-4	-7.10076684691061E-4	9.9921975375422E-4	9.49967447867902E-5	-0.00111835188695153	0.00122257171420921
