"","date","VVD","VVD.low","VVD.high","D66","D66.low","D66.high","GL/PvdA","GL/PvdA.low","GL/PvdA.high","PVV","PVV.low","PVV.high","CDA","CDA.low","CDA.high","SP","SP.low","SP.high","FvD","FvD.low","FvD.high","PvdD","PvdD.low","PvdD.high","CU","CU.low","CU.high","Volt","Volt.low","Volt.high","JA21","JA21.low","JA21.high","SGP","SGP.low","SGP.high","Denk","Denk.low","Denk.high","50PLUS","50PLUS.low","50PLUS.high","BBB","BBB.low","BBB.high","BIJ1","BIJ1.low","BIJ1.high","NSC","NSC.low","NSC.high","BVNL","BVNL.low","BVNL.high"
"1","2021-03-17",0.2187,0.2187,0.2187,0.1502,0.1502,0.1502,0.1089,0.1089,0.1089,0.1079,0.1079,0.1079,0.095,0.095,0.095,0.0598,0.0598,0.0598,0.0502,0.0502,0.0502,0.0384,0.0384,0.0384,0.0337,0.0337,0.0337,0.0242,0.0242,0.0242,0.0237,0.0237,0.0237,0.0207,0.0207,0.0207,0.0203,0.0203,0.0203,0.0102,0.0102,0.0102,0.01,0.01,0.01,0.0084,0.0084,0.0084,0,0,0,0,0,0
"2","2021-03-18",0.218949229832962,0.215655464061038,0.222113411390847,0.150477084183297,0.14726140871419,0.153749377722537,0.108702733443582,0.105951644906609,0.111184739851659,0.107800290475268,0.104497389456724,0.111233719030073,0.0947338582326635,0.0923345459451604,0.0971751899069341,0.0597702228785163,0.0584830585486526,0.0611517049316016,0.0500154238562832,0.0485284880929066,0.0515399761781529,0.0385648068577818,0.037130470825009,0.0399828014717538,0.0337066793291478,0.0330410571693943,0.0343142471542459,0.0243832989508335,0.0221393892061864,0.0267528123819248,0.0239820131530342,0.021872387414219,0.0261535983272663,0.0206993526420019,0.0203967914605038,0.0210043967062548,0.020288394320786,0.0192443020130419,0.0213589117426155,0.0101500750497713,0.00957178093845728,0.0107338967808622,0.00986450547671642,0.00372435447494543,0.0160835858242173,0.00842162857073695,0.00811470288272428,0.00874404575143903,0,0,0,0,0,0
"3","2021-03-19",0.219165573469657,0.214859734476384,0.223587687536548,0.150836992461357,0.146586900266162,0.155275815863432,0.108549555717131,0.104805108301905,0.112244916686255,0.107671138166216,0.103042580956107,0.112298419573454,0.0944399215876321,0.0910823155030378,0.0978065878449106,0.0597212517770629,0.0579125840591954,0.0615768190742628,0.0498438875963694,0.0478615502108891,0.0519649625761335,0.0387141256541256,0.0367995324823304,0.0407025386512819,0.0337149238722855,0.0328195881215329,0.0345859699935689,0.0245583351278138,0.0214219878188761,0.027788196505722,0.024252804070279,0.0212801906044146,0.0271387089405731,0.0207044550049996,0.0202569418096572,0.0211495849802172,0.020261074584377,0.0186922144669918,0.0218108989620119,0.0100950945423796,0.00926994924148699,0.0109496106188645,0.0097329819613309,0.000708162772838211,0.0185705119114614,0.00844447515076835,0.0080069400782318,0.00892400585888978,0,0,0,0,0,0
"4","2021-03-20",0.219385320184527,0.214190349865933,0.224852206542712,0.151153851163511,0.145769498408492,0.156857739033867,0.108361881058934,0.103655785256642,0.112596387641503,0.107620012974119,0.101946285768751,0.113164811021737,0.0941436168363457,0.0902153760236137,0.0980552161467626,0.059698559469547,0.0574711731896879,0.0619428759497694,0.0496686108480847,0.0471652413237269,0.0522424444457532,0.0388835621961632,0.0365507093732268,0.0413000747582245,0.0337222424622894,0.0326694878101692,0.0347490573486023,0.0247138552808935,0.0210291346068529,0.0282988536997601,0.0245172426955586,0.0209297418063721,0.028194072467924,0.0207117306076804,0.020136653413257,0.0212532574377398,0.0202345474297175,0.0183618640212778,0.0221101332356949,0.0100382161336546,0.00906495332200871,0.0110527366412204,0.00951552860290786,-0.00131419942150092,0.0201369894669094,0.00846629133018464,0.00795234536023012,0.00900326819323803,0,0,0,0,0,0
"5","2021-03-21",0.219567584880164,0.213663352819386,0.225701832861063,0.151507344823142,0.145471903846769,0.15787152565836,0.108185994689941,0.102808062935323,0.113051311724022,0.107517076907967,0.10096793134531,0.113905567700722,0.0938979693611987,0.0894564500776742,0.0983836103065568,0.0596490163027274,0.0571403741251642,0.0623424659584612,0.0495300854879188,0.0466493973705784,0.052393753949872,0.0390390149614455,0.0364464079129366,0.0417754345926036,0.0337201015802989,0.0324837336065314,0.0349316683989407,0.0248977266009572,0.0208558897501275,0.0292421085399365,0.0248034155747711,0.0206370959669129,0.0290390172552492,0.0207221924332946,0.0200627488633879,0.0213588200298342,0.0202331630769871,0.0181951782852096,0.0223218988821421,0.00998995067350421,0.00886555250978213,0.011099990096443,0.00939385902789528,-0.00270858722575873,0.0216326627517642,0.00849318118100936,0.00788209434889285,0.00912511718775915,0,0,0,0,0,0
"6","2021-03-22",0.219813354784451,0.213120345248441,0.226355305099432,0.151857455135052,0.145326498900186,0.158932727541951,0.10802285134475,0.101984807883011,0.113301984766058,0.107395879734457,0.100268591712052,0.114363825433063,0.0935763612254058,0.0886608541174361,0.0987950638053539,0.0596063036833953,0.0567731498185712,0.062433281957985,0.049343648483944,0.046211284891836,0.0525744727053797,0.0392293122240087,0.03630835793591,0.0421586539019689,0.033722887518369,0.0323670287698164,0.0350520468966292,0.0250417041309331,0.020431999080006,0.0297492668384173,0.0250915200216502,0.0204333654226571,0.0300760892567984,0.02072207602636,0.0199929395442408,0.0214185637345427,0.0202144741794164,0.0179434418983608,0.0225105034599199,0.00993817528154776,0.0087110202428913,0.0111946237085537,0.00932749591466944,-0.00391467759115723,0.0225736473310295,0.00852307532213589,0.00783741627084593,0.00922421841045856,0,0,0,0,0,0
"7","2021-03-23",0.220023026126665,0.212925188358804,0.227522555386148,0.152153253001636,0.145214814494697,0.159589298676114,0.107838155045466,0.101534583809735,0.11359303273548,0.107354464922923,0.0997288733992399,0.114734207503229,0.0932700886543507,0.0878952588168561,0.0988661352598324,0.0595389641191853,0.0565364758926529,0.0625456870526435,0.0491795959252415,0.0456252541402759,0.0524611116097899,0.039399833395979,0.0362631047494484,0.0426043954779004,0.0337242691368508,0.0322387451811546,0.0351072145368295,0.025203693158536,0.0200429558418135,0.0303592141119955,0.0253526178439064,0.0203424296929014,0.030552223472399,0.020733965944949,0.0199096837842109,0.021535767178709,0.0201864715951533,0.0177577003344391,0.0226979466159212,0.00988062276420166,0.00853500202118511,0.0112508048891695,0.00913470729946176,-0.00493500131019039,0.0229181511408882,0.00854744204825726,0.00783806502600149,0.00931816590840017,0,0,0,0,0,0
"8","2021-03-24",0.220257674057123,0.212811861983922,0.228117717733926,0.152521176609332,0.145172900306462,0.160654141594516,0.107610673086335,0.100752728340183,0.113751845116542,0.107266937003421,0.0992923753712212,0.115022914711873,0.0930183792455754,0.0874816974052187,0.0986846332759755,0.0595052597849762,0.0562962851938055,0.0627990308093167,0.0490178411727837,0.0451675024234079,0.0527062500615222,0.0395283363720295,0.0361303517588851,0.0429885503496327,0.0337296540300655,0.0321727960170619,0.0352350515420945,0.0253417628427992,0.0196859655019081,0.0307656551833139,0.0256346686833128,0.0203493396005388,0.0308680057011842,0.020736740021768,0.019887017630083,0.0215765800129641,0.020167381880984,0.017569609345853,0.0229457165044157,0.00982681102020352,0.00838105975866116,0.011215476104889,0.00896679897956117,-0.00584067650930729,0.0231795920037974,0.00857831305777963,0.00781424022266731,0.00940546055068186,0,0,0,0,0,0
"9","2021-03-25",0.220490133896757,0.212820477273045,0.229001607996151,0.152824541811848,0.145166318516024,0.161412256880755,0.107467583399679,0.100348045692965,0.113816946340831,0.107104503298098,0.0988386925369026,0.115223770196744,0.0926933732038452,0.0868397489551354,0.0987914243103413,0.0594452914025813,0.055950843455407,0.0628301533328559,0.0488481183631062,0.044996757786761,0.0527521045046275,0.039706641762052,0.036189153057235,0.0434264934696309,0.0337466705348578,0.0321386156092548,0.0353247957547557,0.0255185239243409,0.019516862820237,0.0313115553864457,0.0258920785700453,0.0204502905409273,0.0313317522382911,0.0207416926321612,0.0198496497514498,0.0216783837303074,0.0201263696226138,0.0172861280590909,0.0229348119884471,0.00978196841938466,0.00828634601573561,0.0112908559003083,0.00890650226245384,-0.00687210461331558,0.023863976680443,0.00860460968739763,0.00778537290393331,0.00946553880397024,0,0,0,0,0,0
"10","2021-03-26",0.220715574729717,0.212574107982802,0.229225827617259,0.15315453411373,0.145011337201358,0.161886510905853,0.107293259093113,0.100139633636789,0.11383098127809,0.106952681975254,0.0983908503244307,0.115677983781989,0.0924120220881646,0.0862087393902357,0.0989844702093278,0.0593972945440628,0.0556266157296683,0.0629141283259554,0.0486849904829402,0.0445789081456412,0.0527188225258943,0.0398672218905881,0.0362461499978189,0.0438434279678166,0.0337526146332794,0.032024184252136,0.0354419422009939,0.0256593457095337,0.0193338284659146,0.0315914841528586,0.0261590762104727,0.0205115317680222,0.0319193692556471,0.0207478750586059,0.0197800728567482,0.0216984661752676,0.0200867449043417,0.0171235948997196,0.023045780287294,0.00972430697011296,0.00811900216063171,0.011336599107854,0.00890616453656994,-0.00647097899550954,0.0241903742885558,0.00862237240222855,0.00775855497928078,0.00954662117264814,0,0,0,0,0,0
