"","VVD","VVD.low","VVD.high","PvdA","PvdA.low","PvdA.high","PVV","PVV.low","PVV.high","SP","SP.low","SP.high","CDA","CDA.low","CDA.high","D66","D66.low","D66.high","CU","CU.low","CU.high","GL","GL.low","GL.high","SGP","SGP.low","SGP.high","PvdD","PvdD.low","PvdD.high","50PLUS","50PLUS.low","50PLUS.high","VNL","VNL.low","VNL.high","Denk","Denk.low","Denk.high","FvD","FvD.low","FvD.high","PP","PP.low","PP.high"
"2012-09-12",0.26579855,0.26579855,0.26579855,0.248375598,0.248375598,0.248375598,0.100831845,0.100831845,0.100831845,0.096543964,0.096543964,0.096543964,0.085059424,0.085059424,0.085059424,0.080334478,0.080334478,0.080334478,0.031258346,0.031258346,0.031258346,0.023333034,0.023333034,0.023333034,0.020880209,0.020880209,0.020880209,0.019329102,0.019329102,0.019329102,0.01884832,0.01884832,0.01884832,0,0,0,0,0,0,0,0,0,0,0,0
"2012-09-13",0.265839416298004,0.260728624123069,0.271060030130236,0.247322308926448,0.244118390596225,0.250516915941093,0.0998011216908562,0.0948885758366962,0.10496256733066,0.0975241537037968,0.0950313927811881,0.100072955948632,0.084763169485403,0.0826438123311479,0.0869165429193019,0.0802661485621416,0.0772129359450001,0.0833380049392447,0.0315099805270427,0.0307324774330502,0.032285102210399,0.0233600634765279,0.0216462765091909,0.0250757197116192,0.020930421664678,0.0205370780573406,0.0213398441931378,0.0193835744738321,0.0188016639237462,0.0199392971298993,0.0193625818626608,0.0160250563980711,0.0227745153077363,0,0,0,0,0,0,0,0,0,0,0,0
"2012-09-14",0.265852745926066,0.258761439912374,0.273122902891001,0.246297051316272,0.241823208478276,0.250713573360567,0.0987256897646186,0.0920047266432003,0.105668668018604,0.098548041495724,0.0950714270320687,0.101964851994501,0.0844822104286718,0.0816298032821656,0.087341163806257,0.0801465241402254,0.0757400217247786,0.0844175807310376,0.0317537074610957,0.030700674453923,0.032830355634076,0.0233709268721557,0.0211509978065643,0.0256419126249945,0.02097400823132,0.0203970943960322,0.021536212142283,0.0194381252496423,0.0186120466922405,0.0201859248222603,0.0198431986355782,0.0153327436317263,0.0242720686979326,0,0,0,0,0,0,0,0,0,0,0,0
"2012-09-15",0.265984157300823,0.257621320575239,0.274869525977124,0.245254883371734,0.239932847078487,0.250315594677401,0.0976487161841349,0.0892362594218848,0.106081389285535,0.099588981711406,0.0954629745069727,0.103569163799374,0.084165783252398,0.0807208491136618,0.0876466101702128,0.0800748260656086,0.074851135852227,0.0849044474366786,0.0320037816324487,0.0308106108604778,0.0332401460695389,0.0233409120854431,0.0207456933778774,0.0260127219213741,0.0210213066448207,0.0203329180417978,0.021696361584012,0.019498762740759,0.018534377867935,0.0204138155561473,0.0203535171755316,0.0153269743416414,0.0254290097960101,0,0,0,0,0,0,0,0,0,0,0,0
"2012-09-16",0.26610385519523,0.257010301267356,0.275741494217797,0.244129088815338,0.238194724204167,0.249722053490328,0.0965598084160417,0.0874448297236095,0.105672059327283,0.100574455316555,0.0961126964059059,0.104838221816373,0.0838333939211419,0.0800323639654573,0.08763997550252,0.0800609726696152,0.0745609152306738,0.0856244171880353,0.0322534695884078,0.0309026352407825,0.0336990885445562,0.0233302234551701,0.0204309205757338,0.0264245211745855,0.0210630332323405,0.0202870567393954,0.0218551533779383,0.0195538276730151,0.0184737013590575,0.0205804824983817,0.0208554180489515,0.0152438888070186,0.0266331016814434,0,0,0,0,0,0,0,0,0,0,0,0
"2012-09-17",0.266130610966865,0.256476880789269,0.276219001737017,0.243087196215066,0.236909283456332,0.24922298639788,0.0953679890570974,0.0859083922681443,0.104974967002829,0.101552838183542,0.0966288555184943,0.10623259291083,0.08351911131567,0.0793345402073741,0.0876272854561241,0.0800141951992458,0.0742595621487866,0.0858962943753968,0.0324955029575518,0.0310073617953637,0.0340926985018008,0.0233423405684151,0.020254696347189,0.0266963528740947,0.02110940867361,0.0202441210572147,0.021931901851745,0.0196003278422046,0.0184231114982133,0.0207582478748793,0.0214174815720014,0.0155698920764344,0.0273407704810528,0,0,0,0,0,0,0,0,0,0,0,0
"2012-09-18",0.266229360970295,0.255885161581219,0.276596985898334,0.242036999639028,0.235394061621865,0.248458416720021,0.0942958332202971,0.084744738739891,0.104043966646475,0.102574935250128,0.0975473550573296,0.107942350050734,0.083223693883693,0.078783910629196,0.0875045488046031,0.0799563541151263,0.0739897626876517,0.0860771237966908,0.0327409749726486,0.0311199265485087,0.0344399460086827,0.0233285816869632,0.0199973694701961,0.0267221027307942,0.0211555014032874,0.0202545557247522,0.0220460002456897,0.0196533228627504,0.0183889096999234,0.0208833796646845,0.0219637272278378,0.0160278849655196,0.0281593312960282,0,0,0,0,0,0,0,0,0,0,0,0
"2012-09-19",0.266415248503478,0.256263961788963,0.27673080076512,0.241033784042059,0.234183143188368,0.247656605150863,0.0932936308473278,0.0834843322090196,0.103239120932349,0.103553454827725,0.0982134284427821,0.108873673761884,0.0829354581070952,0.0783178668592747,0.0873895918240544,0.0799075024864646,0.0740178092788532,0.0862820522526102,0.0329840237919636,0.031296855131071,0.0347679546222521,0.0233086010321771,0.0198559055908017,0.0267525616489873,0.0211997121478154,0.0202627422376528,0.0221646970428525,0.019707173183114,0.0183842371488168,0.0210252678163129,0.0225222384752979,0.0164244693533381,0.0286004421347226,0,0,0,0,0,0,0,0,0,0,0,0
"2012-09-20",0.266616864868496,0.256595879617742,0.276704073897557,0.239960420348505,0.23323824131118,0.246528261032027,0.0921954726642949,0.0825784794408197,0.101677293986787,0.10455522818024,0.0990941885535088,0.109960725339403,0.0826376967247715,0.0781422867770458,0.0870634114999011,0.0799209725867661,0.0739424964526205,0.0860422532931942,0.0332417801682881,0.0314896943082154,0.0351237359732381,0.0232889970167502,0.0197583839408017,0.026683470662672,0.0212407214323724,0.0202506539991513,0.022245280862884,0.0197631067048477,0.0184050680501734,0.0211517591961188,0.023026081070396,0.0173548504166391,0.0288509269822272,0,0,0,0,0,0,0,0,0,0,0,0
"2012-09-21",0.266798897603278,0.256090394576754,0.276897643162994,0.23888469181884,0.23236790323287,0.245561414720757,0.0910684041729695,0.0815950254753163,0.100067229626233,0.10556645355826,0.100109142770296,0.111058112899365,0.0823431509639344,0.077572078055261,0.0869440734832108,0.0798402379448293,0.0739566937490755,0.08597521486315,0.033489639822028,0.0317522494696539,0.0353600613122512,0.0232904795355003,0.0198807094993353,0.0267422276894508,0.0212830307415837,0.0202070667391643,0.0223128671380496,0.0198131162602728,0.0183646974304369,0.0212294411349395,0.0235275767513921,0.018093020932964,0.0289271633876578,0,0,0,0,0,0,0,0,0,0,0,0
