,party,percentage,seats,date,sample,fieldstart,fieldend,company,publicationdate,reported
59,GL,0.057,NA,30-4-1997,1000,30-4-1997,30-4-1997,Ipsos,30-4-1997,percentage
60,D66,0.104,NA,30-4-1997,1000,30-4-1997,30-4-1997,Ipsos,30-4-1997,percentage
61,GPV,0.016,NA,30-4-1997,1000,30-4-1997,30-4-1997,Ipsos,30-4-1997,percentage
62,RPF,0.019,NA,30-4-1997,1000,30-4-1997,30-4-1997,Ipsos,30-4-1997,percentage
63,SGP,0.019,NA,30-4-1997,1000,30-4-1997,30-4-1997,Ipsos,30-4-1997,percentage
64,CDA,0.201,NA,7-5-1997,1000,7-5-1997,7-5-1997,Ipsos,7-5-1997,percentage
65,PvdA,0.254,NA,7-5-1997,1000,7-5-1997,7-5-1997,Ipsos,7-5-1997,percentage
66,VVD,0.269,NA,7-5-1997,1000,7-5-1997,7-5-1997,Ipsos,7-5-1997,percentage
67,SP,0.033,NA,7-5-1997,1000,7-5-1997,7-5-1997,Ipsos,7-5-1997,percentage
68,GL,0.056,NA,7-5-1997,1000,7-5-1997,7-5-1997,Ipsos,7-5-1997,percentage
69,D66,0.11,NA,7-5-1997,1000,7-5-1997,7-5-1997,Ipsos,7-5-1997,percentage
70,GPV,0.015,NA,7-5-1997,1000,7-5-1997,7-5-1997,Ipsos,7-5-1997,percentage
71,RPF,0.02,NA,7-5-1997,1000,7-5-1997,7-5-1997,Ipsos,7-5-1997,percentage
72,SGP,0.018,NA,7-5-1997,1000,7-5-1997,7-5-1997,Ipsos,7-5-1997,percentage
73,CDA,0.189,NA,14-5-1997,1000,14-5-1997,14-5-1997,Ipsos,14-5-1997,percentage
74,PvdA,0.267,NA,14-5-1997,1000,14-5-1997,14-5-1997,Ipsos,14-5-1997,percentage
75,VVD,0.256,NA,14-5-1997,1000,14-5-1997,14-5-1997,Ipsos,14-5-1997,percentage
76,SP,0.026,NA,14-5-1997,1000,14-5-1997,14-5-1997,Ipsos,14-5-1997,percentage
77,GL,0.066,NA,14-5-1997,1000,14-5-1997,14-5-1997,Ipsos,14-5-1997,percentage
78,D66,0.103,NA,14-5-1997,1000,14-5-1997,14-5-1997,Ipsos,14-5-1997,percentage
79,GPV,0.014,NA,14-5-1997,1000,14-5-1997,14-5-1997,Ipsos,14-5-1997,percentage
80,RPF,0.021,NA,14-5-1997,1000,14-5-1997,14-5-1997,Ipsos,14-5-1997,percentage
81,SGP,0.016,NA,14-5-1997,1000,14-5-1997,14-5-1997,Ipsos,14-5-1997,percentage
82,CDA,0.188,NA,21-5-1997,1000,21-5-1997,21-5-1997,Ipsos,21-5-1997,percentage
83,PvdA,0.258,NA,21-5-1997,1000,21-5-1997,21-5-1997,Ipsos,21-5-1997,percentage
84,VVD,0.266,NA,21-5-1997,1000,21-5-1997,21-5-1997,Ipsos,21-5-1997,percentage
85,SP,0.033,NA,21-5-1997,1000,21-5-1997,21-5-1997,Ipsos,21-5-1997,percentage
86,GL,0.059,NA,21-5-1997,1000,21-5-1997,21-5-1997,Ipsos,21-5-1997,percentage
87,D66,0.12,NA,21-5-1997,1000,21-5-1997,21-5-1997,Ipsos,21-5-1997,percentage
88,GPV,0.012,NA,21-5-1997,1000,21-5-1997,21-5-1997,Ipsos,21-5-1997,percentage
89,RPF,0.02,NA,21-5-1997,1000,21-5-1997,21-5-1997,Ipsos,21-5-1997,percentage
90,SGP,0.018,NA,21-5-1997,1000,21-5-1997,21-5-1997,Ipsos,21-5-1997,percentage
91,CDA,0.18,NA,28-5-1997,1000,28-5-1997,28-5-1997,Ipsos,28-5-1997,percentage
92,PvdA,0.265,NA,28-5-1997,1000,28-5-1997,28-5-1997,Ipsos,28-5-1997,percentage
93,VVD,0.276,NA,28-5-1997,1000,28-5-1997,28-5-1997,Ipsos,28-5-1997,percentage
94,SP,0.022,NA,28-5-1997,1000,28-5-1997,28-5-1997,Ipsos,28-5-1997,percentage
95,GL,0.068,NA,28-5-1997,1000,28-5-1997,28-5-1997,Ipsos,28-5-1997,percentage
96,D66,0.103,NA,28-5-1997,1000,28-5-1997,28-5-1997,Ipsos,28-5-1997,percentage
97,GPV,0.014,NA,28-5-1997,1000,28-5-1997,28-5-1997,Ipsos,28-5-1997,percentage
98,RPF,0.023,NA,28-5-1997,1000,28-5-1997,28-5-1997,Ipsos,28-5-1997,percentage
99,SGP,0.019,NA,28-5-1997,1000,28-5-1997,28-5-1997,Ipsos,28-5-1997,percentage
100,CDA,0.194,NA,4-6-1997,1000,4-6-1997,4-6-1997,Ipsos,4-6-1997,percentage
101,PvdA,0.271,NA,4-6-1997,1000,4-6-1997,4-6-1997,Ipsos,4-6-1997,percentage
102,VVD,0.254,NA,4-6-1997,1000,4-6-1997,4-6-1997,Ipsos,4-6-1997,percentage
103,SP,0.026,NA,4-6-1997,1000,4-6-1997,4-6-1997,Ipsos,4-6-1997,percentage
104,GL,0.056,NA,4-6-1997,1000,4-6-1997,4-6-1997,Ipsos,4-6-1997,percentage
105,D66,0.111,NA,4-6-1997,1000,4-6-1997,4-6-1997,Ipsos,4-6-1997,percentage
106,GPV,0.016,NA,4-6-1997,1000,4-6-1997,4-6-1997,Ipsos,4-6-1997,percentage
107,RPF,0.02,NA,4-6-1997,1000,4-6-1997,4-6-1997,Ipsos,4-6-1997,percentage
108,SGP,0.019,NA,4-6-1997,1000,4-6-1997,4-6-1997,Ipsos,4-6-1997,percentage
109,CDA,0.189,NA,11-6-1997,1000,11-6-1997,11-6-1997,Ipsos,11-6-1997,percentage
110,PvdA,0.254,NA,11-6-1997,1000,11-6-1997,11-6-1997,Ipsos,11-6-1997,percentage
111,VVD,0.257,NA,11-6-1997,1000,11-6-1997,11-6-1997,Ipsos,11-6-1997,percentage
112,SP,0.033,NA,11-6-1997,1000,11-6-1997,11-6-1997,Ipsos,11-6-1997,percentage
113,GL,0.049,NA,11-6-1997,1000,11-6-1997,11-6-1997,Ipsos,11-6-1997,percentage
114,D66,0.123,NA,11-6-1997,1000,11-6-1997,11-6-1997,Ipsos,11-6-1997,percentage
115,GPV,0.014,NA,11-6-1997,1000,11-6-1997,11-6-1997,Ipsos,11-6-1997,percentage
116,RPF,0.021,NA,11-6-1997,1000,11-6-1997,11-6-1997,Ipsos,11-6-1997,percentage
117,SGP,0.019,NA,11-6-1997,1000,11-6-1997,11-6-1997,Ipsos,11-6-1997,percentage
118,CDA,0.199,NA,18-6-1997,1000,18-6-1997,18-6-1997,Ipsos,18-6-1997,percentage
119,PvdA,0.242,NA,18-6-1997,1000,18-6-1997,18-6-1997,Ipsos,18-6-1997,percentage
120,VVD,0.245,NA,18-6-1997,1000,18-6-1997,18-6-1997,Ipsos,18-6-1997,percentage
121,SP,0.039,NA,18-6-1997,1000,18-6-1997,18-6-1997,Ipsos,18-6-1997,percentage
122,GL,0.06,NA,18-6-1997,1000,18-6-1997,18-6-1997,Ipsos,18-6-1997,percentage
123,D66,0.122,NA,18-6-1997,1000,18-6-1997,18-6-1997,Ipsos,18-6-1997,percentage
124,GPV,0.011,NA,18-6-1997,1000,18-6-1997,18-6-1997,Ipsos,18-6-1997,percentage
125,RPF,0.025,NA,18-6-1997,1000,18-6-1997,18-6-1997,Ipsos,18-6-1997,percentage
126,SGP,0.016,NA,18-6-1997,1000,18-6-1997,18-6-1997,Ipsos,18-6-1997,percentage
127,CDA,0.183,NA,25-6-1997,1000,25-6-1997,25-6-1997,Ipsos,25-6-1997,percentage
128,PvdA,0.261,NA,25-6-1997,1000,25-6-1997,25-6-1997,Ipsos,25-6-1997,percentage
129,VVD,0.252,NA,25-6-1997,1000,25-6-1997,25-6-1997,Ipsos,25-6-1997,percentage
130,SP,0.033,NA,25-6-1997,1000,25-6-1997,25-6-1997,Ipsos,25-6-1997,percentage
131,GL,0.059,NA,25-6-1997,1000,25-6-1997,25-6-1997,Ipsos,25-6-1997,percentage
132,D66,0.129,NA,25-6-1997,1000,25-6-1997,25-6-1997,Ipsos,25-6-1997,percentage
133,GPV,0.013,NA,25-6-1997,1000,25-6-1997,25-6-1997,Ipsos,25-6-1997,percentage
134,RPF,0.021,NA,25-6-1997,1000,25-6-1997,25-6-1997,Ipsos,25-6-1997,percentage
135,SGP,0.017,NA,25-6-1997,1000,25-6-1997,25-6-1997,Ipsos,25-6-1997,percentage
136,CDA,0.187,NA,2-7-1997,1000,2-7-1997,2-7-1997,Ipsos,2-7-1997,percentage
137,PvdA,0.258,NA,2-7-1997,1000,2-7-1997,2-7-1997,Ipsos,2-7-1997,percentage
138,VVD,0.259,NA,2-7-1997,1000,2-7-1997,2-7-1997,Ipsos,2-7-1997,percentage
139,SP,0.034,NA,2-7-1997,1000,2-7-1997,2-7-1997,Ipsos,2-7-1997,percentage
140,GL,0.065,NA,2-7-1997,1000,2-7-1997,2-7-1997,Ipsos,2-7-1997,percentage
141,D66,0.105,NA,2-7-1997,1000,2-7-1997,2-7-1997,Ipsos,2-7-1997,percentage
142,GPV,0.014,NA,2-7-1997,1000,2-7-1997,2-7-1997,Ipsos,2-7-1997,percentage
143,RPF,0.025,NA,2-7-1997,1000,2-7-1997,2-7-1997,Ipsos,2-7-1997,percentage
144,SGP,0.01,NA,2-7-1997,1000,2-7-1997,2-7-1997,Ipsos,2-7-1997,percentage
145,CDA,0.192,NA,9-7-1997,1000,9-7-1997,9-7-1997,Ipsos,9-7-1997,percentage
146,PvdA,0.247,NA,9-7-1997,1000,9-7-1997,9-7-1997,Ipsos,9-7-1997,percentage
147,VVD,0.265,NA,9-7-1997,1000,9-7-1997,9-7-1997,Ipsos,9-7-1997,percentage
148,SP,0.032,NA,9-7-1997,1000,9-7-1997,9-7-1997,Ipsos,9-7-1997,percentage
149,GL,0.055,NA,9-7-1997,1000,9-7-1997,9-7-1997,Ipsos,9-7-1997,percentage
150,D66,0.117,NA,9-7-1997,1000,9-7-1997,9-7-1997,Ipsos,9-7-1997,percentage
151,GPV,0.006,NA,9-7-1997,1000,9-7-1997,9-7-1997,Ipsos,9-7-1997,percentage
152,RPF,0.025,NA,9-7-1997,1000,9-7-1997,9-7-1997,Ipsos,9-7-1997,percentage
153,SGP,0.012,NA,9-7-1997,1000,9-7-1997,9-7-1997,Ipsos,9-7-1997,percentage
154,CDA,0.212,NA,16-7-1997,1000,16-7-1997,16-7-1997,Ipsos,16-7-1997,percentage
155,PvdA,0.243,NA,16-7-1997,1000,16-7-1997,16-7-1997,Ipsos,16-7-1997,percentage
156,VVD,0.267,NA,16-7-1997,1000,16-7-1997,16-7-1997,Ipsos,16-7-1997,percentage
157,SP,0.03,NA,16-7-1997,1000,16-7-1997,16-7-1997,Ipsos,16-7-1997,percentage
158,GL,0.054,NA,16-7-1997,1000,16-7-1997,16-7-1997,Ipsos,16-7-1997,percentage
159,D66,0.105,NA,16-7-1997,1000,16-7-1997,16-7-1997,Ipsos,16-7-1997,percentage
160,GPV,0.01,NA,16-7-1997,1000,16-7-1997,16-7-1997,Ipsos,16-7-1997,percentage
161,RPF,0.02,NA,16-7-1997,1000,16-7-1997,16-7-1997,Ipsos,16-7-1997,percentage
162,SGP,0.017,NA,16-7-1997,1000,16-7-1997,16-7-1997,Ipsos,16-7-1997,percentage
163,CDA,0.2,NA,23-7-1997,1000,23-7-1997,23-7-1997,Ipsos,23-7-1997,percentage
164,PvdA,0.251,NA,23-7-1997,1000,23-7-1997,23-7-1997,Ipsos,23-7-1997,percentage
165,VVD,0.245,NA,23-7-1997,1000,23-7-1997,23-7-1997,Ipsos,23-7-1997,percentage
166,SP,0.035,NA,23-7-1997,1000,23-7-1997,23-7-1997,Ipsos,23-7-1997,percentage
167,GL,0.065,NA,23-7-1997,1000,23-7-1997,23-7-1997,Ipsos,23-7-1997,percentage
168,D66,0.117,NA,23-7-1997,1000,23-7-1997,23-7-1997,Ipsos,23-7-1997,percentage
169,GPV,0.014,NA,23-7-1997,1000,23-7-1997,23-7-1997,Ipsos,23-7-1997,percentage
170,RPF,0.02,NA,23-7-1997,1000,23-7-1997,23-7-1997,Ipsos,23-7-1997,percentage
171,SGP,0.022,NA,23-7-1997,1000,23-7-1997,23-7-1997,Ipsos,23-7-1997,percentage
172,CDA,0.204,NA,30-7-1997,1000,30-7-1997,30-7-1997,Ipsos,30-7-1997,percentage
173,PvdA,0.259,NA,30-7-1997,1000,30-7-1997,30-7-1997,Ipsos,30-7-1997,percentage
174,VVD,0.256,NA,30-7-1997,1000,30-7-1997,30-7-1997,Ipsos,30-7-1997,percentage
175,SP,0.024,NA,30-7-1997,1000,30-7-1997,30-7-1997,Ipsos,30-7-1997,percentage
176,GL,0.048,NA,30-7-1997,1000,30-7-1997,30-7-1997,Ipsos,30-7-1997,percentage
177,D66,0.132,NA,30-7-1997,1000,30-7-1997,30-7-1997,Ipsos,30-7-1997,percentage
178,GPV,0.014,NA,30-7-1997,1000,30-7-1997,30-7-1997,Ipsos,30-7-1997,percentage
179,RPF,0.017,NA,30-7-1997,1000,30-7-1997,30-7-1997,Ipsos,30-7-1997,percentage
180,SGP,0.019,NA,30-7-1997,1000,30-7-1997,30-7-1997,Ipsos,30-7-1997,percentage
181,CDA,0.216,NA,6-8-1997,1000,6-8-1997,6-8-1997,Ipsos,6-8-1997,percentage
